2019-03-12_18-15-07/[INF]/Please toggle to the virtualpiano window. You have 5 seconds.
2019-03-12_18-15-12/[INF]/Starting playback of midi file
2019-03-12_18-15-12/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-12/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-12/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-12/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-12/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-12/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-12/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-12/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-13/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-13/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-13/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-13/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-14/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-14/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-14/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-14/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-14/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-14/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-14/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-14/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-15/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-15/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-16/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-16/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-16/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-16/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-16/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-17/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-17/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-17/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-17/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-17/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-17/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-17/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-18/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-18/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-18/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-18/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-18/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-18/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-18/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-19/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-19/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-19/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-19/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-19/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-19/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-19/[DBG]/Skipping over a message because there was no note value
2019-03-12_18-15-19/[DBG]/Skipping over a message because there was no note value
