2019-03-12_18-40-11/[INF]/Please toggle to the virtualpiano window. You have 5 seconds.
2019-03-12_18-40-16/[INF]/Starting playback of midi file
2019-03-12_18-40-16/[DBG]/Skipping over a message because there was no note value e/'Message' object has no attribute 'note'
2019-03-12_18-40-16/[DBG]/Skipping over a message because there was no note value e/'Message' object has no attribute 'note'
2019-03-12_18-40-16/[DBG]/Skipping over a message because there was no note value e/'Message' object has no attribute 'note'
2019-03-12_18-40-16/[DBG]/Skipping over a message because there was no note value e/'Message' object has no attribute 'note'
2019-03-12_18-40-16/[DBG]/Skipping over a message because there was no note value e/'Message' object has no attribute 'note'
2019-03-12_18-40-16/[DBG]/Skipping over a message because there was no note value e/'Message' object has no attribute 'note'
2019-03-12_18-40-16/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-16/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-17/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-17/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-17/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-17/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-18/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-18/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-18/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-18/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-19/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-19/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-19/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-19/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-20/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-20/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-21/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-21/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-21/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-21/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-22/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-22/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-22/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-23/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-23/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-23/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-23/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-24/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-24/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-24/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-25/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-25/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-25/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-25/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-25/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-26/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-26/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-26/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-26/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-27/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-27/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-27/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-27/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-27/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-28/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-28/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-28/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-28/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-29/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-29/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-29/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-29/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-29/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-30/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-30/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-30/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-30/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-31/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-31/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-31/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-31/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-31/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-32/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-32/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-32/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-32/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-32/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-33/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-33/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-33/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-33/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-34/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-34/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-34/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-34/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-35/[DBG]/Parsed note 40 as 3
2019-03-12_18-40-35/[DBG]/Parsed note 52 as 0
2019-03-12_18-40-35/[DBG]/Parsed note 57 as e
2019-03-12_18-40-35/[DBG]/Parsed note 61 as T
2019-03-12_18-40-35/[WRN]/Skipped note with value 33 because it was out of range
